date,close,,,Fake date
18-Mar-14,46.94,,,18-Mar-14
11-Mar-14,48.42,,,11-Mar-14
4-Mar-14,51.15,,,4-Mar-14
25-Feb-14,51.28,,,25-Feb-14
18-Feb-14,52.01,,,18-Feb-14
11-Feb-14,54.6,,,11-Feb-14
4-Feb-14,56.85,,,4-Feb-14
28-Jan-14,56.73,,,28-Jan-14
21-Jan-14,54.56,,,21-Jan-14
14-Jan-14,54.03,,,14-Jan-14
7-Jan-14,54.21,,,7-Jan-14
31-Dec-14,54.21,,,31-Dec-13
24-Dec-14,54.21,,,24-Dec-13
17-Dec-14,55.19,,,17-Dec-13
10-Dec-14,55.19,,,10-Dec-13
3-Dec-14,55.42,,,3-Dec-13
26-Nov-14,55.42,,,26-Nov-13
19-Nov-14,55.31,,,19-Nov-13
12-Nov-14,49.72,,,12-Nov-13
5-Nov-14,49.8,,,5-Nov-13
29-Oct-14,51.42,,,29-Oct-13
22-Oct-14,52.43,,,22-Oct-13
15-Oct-14,54.86,,,15-Oct-13
8-Oct-14,61.12,,,8-Oct-13
1-Oct-14,70.13,,,1-Oct-13
24-Sep-14,73.02,,,24-Sep-13
17-Sep-14,74.06,,,17-Sep-13
10-Sep-14,78.21,,,10-Sep-13
3-Sep-14,76.4,,,3-Sep-13
27-Aug-14,78.39,,,27-Aug-13
20-Aug-14,72.7,,,20-Aug-13
13-Aug-14,72.67,,,13-Aug-13
6-Aug-14,76.05,,,6-Aug-13
30-Jul-14,79.47,,,30-Jul-13
23-Jul-14,80.14,,,23-Jul-13
16-Jul-14,78.01,,,16-Jul-13
9-Jul-14,75.86,,,9-Jul-13
2-Jul-14,75.48,,,2-Jul-13
25-Jun-14,75.66,,,25-Jun-13
18-Jun-14,79.45,,,18-Jun-13
11-Jun-14,79.7,,,11-Jun-13
4-Jun-14,81.87,,,4-Jun-13
28-May-14,84.64,,,28-May-13
21-May-14,88.9,,,21-May-13
14-May-14,92.48,,,14-May-13
7-May-14,92.02,,,7-May-13
30-Apr-14,92.28,,,30-Apr-13
23-Apr-14,92.93,,,23-Apr-13
16-Apr-14,92.9,,,16-Apr-13
9-Apr-14,95.04,,,9-Apr-13
2-Apr-14,95.04,,,2-Apr-13
26-Mar-14,95.35,,,26-Mar-13
19-Mar-14,95.35,,,19-Mar-13
12-Mar-14,95.35,,,12-Mar-13
5-Mar-14,95.35,,,5-Mar-13
26-Feb-14,95.34,,,26-Feb-13
19-Feb-14,94.99,,,19-Feb-13
12-Feb-14,94.99,,,12-Feb-13
5-Feb-14,95.21,,,5-Feb-13
29-Jan-14,95.21,,,29-Jan-13
22-Jan-14,95.21,,,22-Jan-13
15-Jan-14,95.21,,,15-Jan-13
8-Jan-14,95.22,,,8-Jan-13
1-Jan-14,98.46,,,1-Jan-13
25-Dec-14,98.46,,,25-Dec-12
18-Dec-14,98.46,,,18-Dec-12
11-Dec-14,98.46,,,11-Dec-12
4-Dec-14,98.8,,,4-Dec-12
27-Nov-14,98.8,,,27-Nov-12
20-Nov-14,98.8,,,20-Nov-12
13-Nov-14,98.8,,,13-Nov-12
6-Nov-14,99.97,,,6-Nov-12
30-Oct-14,100,,,30-Oct-12
23-Oct-14,100,,,23-Oct-12
16-Oct-14,100,,,16-Oct-12
9-Oct-14,100,,,9-Oct-12
2-Oct-14,100,,,2-Oct-12
25-Sep-14,100,,,25-Sep-12
18-Sep-14,100,,,18-Sep-12
11-Sep-14,100,,,11-Sep-12
4-Sep-14,99.06,,,4-Sep-12
28-Aug-14,98.75,,,28-Aug-12
21-Aug-14,95.69,,,21-Aug-12
14-Aug-14,95.52,,,14-Aug-12
7-Aug-14,97.64,,,7-Aug-12
31-Jul-14,97.64,,,31-Jul-12
24-Jul-14,97.68,,,24-Jul-12
17-Jul-14,96.48,,,17-Jul-12
10-Jul-14,93.86,,,10-Jul-12
3-Jul-14,91.28,,,3-Jul-12
26-Jun-14,83.93,,,26-Jun-12
19-Jun-14,81.47,,,19-Jun-12
12-Jun-14,73.09,,,12-Jun-12
5-Jun-14,70.84,,,5-Jun-12
29-May-14,65.55,,,29-May-12
22-May-14,63.46,,,22-May-12
15-May-14,50.05,,,15-May-12
8-May-14,48.66,,,8-May-12
1-May-14,51,,,1-May-12
24-Apr-14,56.15,,,24-Apr-12
17-Apr-14,57.34,,,17-Apr-12
10-Apr-14,62.29,,,10-Apr-12
3-Apr-14,66.55,,,3-Apr-12
27-Mar-14,60.18,,,27-Mar-12
20-Mar-14,57.15,,,20-Mar-12
13-Mar-14,57.83,,,13-Mar-12
6-Mar-14,54.18,,,6-Mar-12
28-Feb-14,55.21,,,28-Feb-12
21-Feb-14,55.3,,,21-Feb-12
14-Feb-14,55.19,,,14-Feb-12
7-Feb-14,53.76,,,7-Feb-12
31-Jan-14,59.79,,,31-Jan-12
24-Jan-14,59.97,,,24-Jan-12
17-Jan-14,53.41,,,17-Jan-12
10-Jan-14,48.3,,,10-Jan-12
3-Jan-14,42.38,,,3-Jan-12
27-Dec-14,38.34,,,27-Dec-11
20-Dec-14,39.72,,,20-Dec-11
13-Dec-14,36.32,,,13-Dec-11
6-Dec-14,36.54,,,6-Dec-11
29-Nov-14,39.07,,,29-Nov-11
22-Nov-14,36.22,,,22-Nov-11
15-Nov-14,35.54,,,15-Nov-11
8-Nov-14,35.31,,,8-Nov-11
1-Nov-14,33.81,,,1-Nov-11
25-Oct-14,29.47,,,25-Oct-11
18-Oct-14,28.86,,,18-Oct-11
11-Oct-14,28.58,,,11-Oct-11
4-Oct-14,36.63,,,4-Oct-11
27-Sep-14,29.91,,,27-Sep-11
20-Sep-14,29.91,,,20-Sep-11
13-Sep-14,35.33,,,13-Sep-11
6-Sep-14,27.38,,,6-Sep-11
30-Aug-14,25.44,,,30-Aug-11
23-Aug-14,24.2,,,23-Aug-11
16-Aug-14,23.22,,,16-Aug-11
9-Aug-14,21.94,,,9-Aug-11
2-Aug-14,22.64,,,2-Aug-11
26-Jul-14,20.43,,,26-Jul-11
19-Jul-14,19.72,,,19-Jul-11
12-Jul-14,19.97,,,12-Jul-11
5-Jul-14,24.48,,,5-Jul-11
28-Jun-14,22.88,,,28-Jun-11
21-Jun-14,20.12,,,21-Jun-11
14-Jun-14,21.01,,,14-Jun-11
7-Jun-14,20.84,,,7-Jun-11
31-May-14,20.66,,,31-May-11
24-May-14,22.6,,,24-May-11
17-May-14,28.07,,,17-May-11
10-May-14,33.38,,,10-May-11
3-May-14,33.08,,,3-May-11
26-Apr-14,31.13,,,26-Apr-11
19-Apr-14,35.45,,,19-Apr-11
12-Apr-14,37.79,,,12-Apr-11
5-Apr-14,37.51,,,5-Apr-11
29-Mar-14,37.43,,,29-Mar-11
22-Mar-14,37.27,,,22-Mar-11
15-Mar-14,33.96,,,15-Mar-11
8-Mar-14,35.9,,,8-Mar-11
1-Mar-14,35.67,,,1-Mar-11
22-Feb-14,37.75,,,22-Feb-11
15-Feb-14,37.75,,,15-Feb-11
8-Feb-14,37.75,,,8-Feb-11
1-Feb-14,38.99,,,1-Feb-11
25-Jan-14,38.99,,,25-Jan-11
18-Jan-14,38.99,,,18-Jan-11
11-Jan-14,38.99,,,11-Jan-11
4-Jan-14,39.52,,,4-Jan-11
28-Dec-14,39.65,,,28-Dec-10
21-Dec-14,38.95,,,21-Dec-10
14-Dec-14,36.97,,,14-Dec-10
7-Dec-14,33.39,,,7-Dec-10
30-Nov-14,33.71,,,30-Nov-10
23-Nov-14,32.58,,,23-Nov-10
16-Nov-14,37.48,,,16-Nov-10
9-Nov-14,39.04,,,9-Nov-10
2-Nov-14,35.34,,,2-Nov-10
26-Oct-14,34.55,,,26-Oct-10
19-Oct-14,34.33,,,19-Oct-10
12-Oct-14,33.47,,,12-Oct-10
5-Oct-14,34.95,,,5-Oct-10
28-Sep-14,34.94,,,28-Sep-10
21-Sep-14,26.42,,,21-Sep-10
14-Sep-14,18.39,,,14-Sep-10
7-Sep-14,15.8,,,7-Sep-10
31-Aug-14,16.01,,,31-Aug-10
24-Aug-14,11.86,,,24-Aug-10
17-Aug-14,12.3,,,17-Aug-10
10-Aug-14,10.01,,,10-Aug-10
3-Aug-14,9.44,,,3-Aug-10
27-Jul-14,10.24,,,27-Jul-10
20-Jul-14,10.83,,,20-Jul-10
13-Jul-14,10.5,,,13-Jul-10
6-Jul-14,10.5,,,6-Jul-10
29-Jun-14,12.25,,,29-Jun-10
22-Jun-14,11.94,,,22-Jun-10
15-Jun-14,10.89,,,15-Jun-10
8-Jun-14,11.62,,,8-Jun-10
1-Jun-14,11.11,,,1-Jun-10
25-May-14,11.14,,,25-May-10
18-May-14,13.74,,,18-May-10
11-May-14,17.05,,,11-May-10
4-May-14,19.2,,,4-May-10
27-Apr-14,19.72,,,27-Apr-10
20-Apr-14,19.72,,,20-Apr-10
13-Apr-14,19.73,,,13-Apr-10
6-Apr-14,18.67,,,6-Apr-10
30-Mar-14,18.67,,,30-Mar-10
23-Mar-14,18.52,,,23-Mar-10
16-Mar-14,18.59,,,16-Mar-10
9-Mar-14,18.46,,,9-Mar-10
2-Mar-14,19.01,,,2-Mar-10
23-Feb-14,19.01,,,23-Feb-10
16-Feb-14,20.73,,,16-Feb-10
9-Feb-14,15.66,,,9-Feb-10
2-Feb-14,15.66,,,2-Feb-10
26-Jan-14,13.58,,,26-Jan-10
19-Jan-14,14.14,,,19-Jan-10
12-Jan-14,13.96,,,12-Jan-10
5-Jan-14,10.28,,,5-Jan-10
29-Dec-14,10.35,,,29-Dec-09
22-Dec-14,9.21,,,22-Dec-09
15-Dec-14,9.21,,,15-Dec-09
8-Dec-14,8.78,,,8-Dec-09
1-Dec-14,6.77,,,1-Dec-09
24-Nov-14,6.74,,,24-Nov-09
17-Nov-14,5.14,,,17-Nov-09
10-Nov-14,5.14,,,10-Nov-09
3-Nov-14,5.07,,,3-Nov-09
27-Oct-14,5.07,,,27-Oct-09
20-Oct-14,8.91,,,20-Oct-09
13-Oct-14,11.17,,,13-Oct-09
6-Oct-14,11.65,,,6-Oct-09
29-Sep-14,12.11,,,29-Sep-09
22-Sep-14,11.43,,,22-Sep-09
15-Sep-14,14.46,,,15-Sep-09
8-Sep-14,17.08,,,8-Sep-09
1-Sep-14,12.27,,,1-Sep-09
25-Aug-14,12.82,,,25-Aug-09
18-Aug-14,11.59,,,18-Aug-09
11-Aug-14,15.42,,,11-Aug-09
4-Aug-14,13.14,,,4-Aug-09
28-Jul-14,9.97,,,28-Jul-09
21-Jul-14,9.7,,,21-Jul-09
14-Jul-14,9.06,,,14-Jul-09
7-Jul-14,10.04,,,7-Jul-09
30-Jun-14,9.77,,,30-Jun-09
23-Jun-14,11.02,,,23-Jun-09
16-Jun-14,18.47,,,16-Jun-09
9-Jun-14,20.69,,,9-Jun-09
2-Jun-14,21.93,,,2-Jun-09
26-May-14,11.12,,,26-May-09
19-May-14,17.95,,,19-May-09
12-May-14,14.33,,,12-May-09
5-May-14,17.8,,,5-May-09
28-Apr-14,23.99,,,28-Apr-09
21-Apr-14,20.8,,,21-Apr-09
14-Apr-14,32.1,,,14-Apr-09
7-Apr-14,35.2,,,7-Apr-09
31-Mar-14,39.2,,,31-Mar-09
24-Mar-14,41.63,,,24-Mar-09
17-Mar-14,41.01,,,17-Mar-09
10-Mar-14,41.01,,,10-Mar-09
3-Mar-14,41.29,,,3-Mar-09
24-Feb-14,33.48,,,24-Feb-09
17-Feb-14,34.24,,,17-Feb-09
10-Feb-14,34.23,,,10-Feb-09
3-Feb-14,33.07,,,3-Feb-09
27-Jan-14,35.57,,,27-Jan-09
20-Jan-14,33.12,,,20-Jan-09
13-Jan-14,33.82,,,13-Jan-09
6-Jan-14,34.94,,,6-Jan-09
30-Dec-14,35.68,,,30-Dec-08
23-Dec-14,38.91,,,23-Dec-08
16-Dec-14,38.77,,,16-Dec-08
9-Dec-14,38.48,,,9-Dec-08
2-Dec-14,38.39,,,2-Dec-08
25-Nov-14,33.33,,,25-Nov-08
18-Nov-14,33.33,,,18-Nov-08
11-Nov-14,29.18,,,11-Nov-08
4-Nov-14,29.6,,,4-Nov-08
28-Oct-14,29.69,,,28-Oct-08
21-Oct-14,30.13,,,21-Oct-08
14-Oct-14,30.45,,,14-Oct-08
7-Oct-14,39.15,,,7-Oct-08
30-Sep-14,39.19,,,30-Sep-08
23-Sep-14,39.21,,,23-Sep-08
16-Sep-14,40.17,,,16-Sep-08
9-Sep-14,43.1,,,9-Sep-08
2-Sep-14,45.22,,,2-Sep-08
26-Aug-14,50.94,,,26-Aug-08
19-Aug-14,45.26,,,19-Aug-08
12-Aug-14,49.61,,,12-Aug-08
5-Aug-14,55.92,,,5-Aug-08
29-Jul-14,49.49,,,29-Jul-08
22-Jul-14,50.68,,,22-Jul-08
15-Jul-14,41.34,,,15-Jul-08
8-Jul-14,37.77,,,8-Jul-08
1-Jul-14,35.09,,,1-Jul-08
24-Jun-14,36.06,,,24-Jun-08
17-Jun-14,37.29,,,17-Jun-08
10-Jun-14,35.75,,,10-Jun-08
3-Jun-14,38.05,,,3-Jun-08
27-May-14,40.87,,,27-May-08
20-May-14,53.24,,,20-May-08
13-May-14,52.26,,,13-May-08
6-May-14,53.89,,,6-May-08
29-Apr-14,55.49,,,29-Apr-08
22-Apr-14,55.88,,,22-Apr-08
15-Apr-14,55.88,,,15-Apr-08
8-Apr-14,56.44,,,8-Apr-08
1-Apr-14,57.37,,,1-Apr-08
25-Mar-14,59.87,,,25-Mar-08
18-Mar-14,59.62,,,18-Mar-08
11-Mar-14,59.62,,,11-Mar-08
4-Mar-14,59.62,,,4-Mar-08
26-Feb-14,59.8,,,26-Feb-08
19-Feb-14,59.79,,,19-Feb-08
12-Feb-14,59.88,,,12-Feb-08
5-Feb-14,59.88,,,5-Feb-08
29-Jan-14,56.55,,,29-Jan-08
22-Jan-14,53.97,,,22-Jan-08
15-Jan-14,53.97,,,15-Jan-08
8-Jan-14,53.26,,,8-Jan-08
1-Jan-14,53.16,,,1-Jan-08
25-Dec-14,53.16,,,25-Dec-07
18-Dec-14,53.16,,,18-Dec-07
11-Dec-14,55.19,,,11-Dec-07
4-Dec-14,56.64,,,4-Dec-07
27-Nov-14,49.39,,,27-Nov-07
20-Nov-14,47.59,,,20-Nov-07
13-Nov-14,47.59,,,13-Nov-07
6-Nov-14,42.83,,,6-Nov-07
30-Oct-14,41.94,,,30-Oct-07
23-Oct-14,42.06,,,23-Oct-07
16-Oct-14,42.11,,,16-Oct-07
9-Oct-14,43.84,,,9-Oct-07
2-Oct-14,44.22,,,2-Oct-07
25-Sep-14,44.19,,,25-Sep-07
18-Sep-14,46.02,,,18-Sep-07
11-Sep-14,46.68,,,11-Sep-07
4-Sep-14,46.16,,,4-Sep-07
28-Aug-14,45.95,,,28-Aug-07
21-Aug-14,53.05,,,21-Aug-07
14-Aug-14,53.15,,,14-Aug-07
7-Aug-14,55.71,,,7-Aug-07
31-Jul-14,56.54,,,31-Jul-07
24-Jul-14,55.51,,,24-Jul-07
17-Jul-14,45.88,,,17-Jul-07
10-Jul-14,42.13,,,10-Jul-07
3-Jul-14,34.21,,,3-Jul-07
26-Jun-14,27.46,,,26-Jun-07
19-Jun-14,28.51,,,19-Jun-07
12-Jun-14,28.84,,,12-Jun-07
5-Jun-14,36.44,,,5-Jun-07
29-May-14,39.08,,,29-May-07
22-May-14,40.78,,,22-May-07
15-May-14,40.78,,,15-May-07
8-May-14,40.78,,,8-May-07
1-May-14,47.75,,,1-May-07
24-Apr-14,49.11,,,24-Apr-07
17-Apr-14,50.64,,,17-Apr-07
10-Apr-14,52.53,,,10-Apr-07
3-Apr-14,52.86,,,3-Apr-07
27-Mar-14,63.87,,,27-Mar-07
20-Mar-14,64.35,,,20-Mar-07
13-Mar-14,60.49,,,13-Mar-07
6-Mar-14,60.49,,,6-Mar-07
27-Feb-14,62.72,,,27-Feb-07
20-Feb-14,68.51,,,20-Feb-07
